sector,stage,candidate_period_d,local_peak_period_d,ls_amplitude_at_candidate,fitted_semi_amplitude,semi_amplitude_error,amplitude_snr,global_best_period_d
74,before_eb_removal,0.1802,0.175053,0.149171,0.138022,0.0817094,1.68918,0.198776
74,before_eb_removal,0.3604,0.341379,0.0580346,0.0535884,0.0816572,0.65626,0.198776
74,after_eb_removal,0.1802,0.175168,0.176072,0.158433,0.0720562,2.19875,0.085398
74,after_eb_removal,0.3604,0.342694,0.0199468,0.0260342,0.0720702,0.361234,0.085398
74,eb_proxy,0.1802,0.188262,0.0282197,0.168163,0.165468,1.01628,0.198776
74,eb_proxy,0.3604,0.364698,0.0814776,0.0700214,0.165318,0.423555,0.198776
74,local_background,0.1802,0.185129,0.543865,0.578702,0.389327,1.48642,0.24996
74,local_background,0.3604,0.342254,2.05864,0.925123,0.389896,2.37274,0.24996
75,before_eb_removal,0.1802,0.17908,0.12722,0.115403,0.0845627,1.36471,0.198745
75,before_eb_removal,0.3604,0.349062,0.0846423,0.0808219,0.084411,0.95748,0.198745
75,after_eb_removal,0.1802,0.186531,0.0958424,0.150204,0.0709287,2.11768,0.0794157
75,after_eb_removal,0.3604,0.349451,0.0917898,0.0727192,0.0709204,1.02536,0.0794157
75,eb_proxy,0.1802,0.183714,0.301923,0.176229,0.153849,1.14546,0.198745
75,eb_proxy,0.3604,0.363734,0.0880178,0.121368,0.153973,0.788246,0.198745
75,local_background,0.1802,0.171007,0.186311,0.259473,0.220311,1.17776,0.250304
75,local_background,0.3604,0.340478,0.338348,0.249835,0.220276,1.13419,0.250304
74+75,after_eb_removal,0.1802,0.179268,0.0976381,0.109443,0.0505405,2.16545,0.0528608
74+75,after_eb_removal,0.3604,0.344509,0.0505471,0.0490766,0.0505423,0.971,0.0528608
